Latitude,Longitude,125Fd,141ETR,143GSL,144HWDI,191Tx10,192Tx90,193Tn10,194Tn90,606R10,641CDD,644R5D,646SDII,695R95T,001TxGE,002TxLE,003TnGE,004TnLE,101AnnP,102GDD5,103GDD10,104GDD0,106Prcp20,107Prcp25,108Prcp10,109GSL_B,110GSL_E
50.5854,-120.1353,-0.575757576,-0.09463105,0.265686275,0,-0.024174045,0,-0.174307425,0.246909467,0.049390244,-0.082482993,0.039595999,0.004494824,0.207061317,0.08452381,-0.084770115,0.061862245,-0.575757576,1.208742135,2.739765908,0.813847295,3.437579459,0,0,0.049390244,-0.210526316,0.04
50.8392,-119.3695,-0.358732463,-0.073405895,0.155870445,-0.026709402,-0.060407148,0,-0.129504424,0.136986256,0.032795699,-0.071428571,0.029272921,-0.005481594,0.037660275,0.0625,-0.2,0,-0.358732463,0.850602812,1.76830773,0.77831308,2.325183668,0,0,0.032795699,-0.125,0.038838612
50.9196,-112.4383,-0.16,-0.015702046,0.295707472,0.306388527,-0.058972865,0.053242521,-0.071250528,0.136986307,0,-0.043478261,0.010216707,-0.011436707,0.007594046,0.067424242,-0.392080745,0.234313725,-0.16,-0.040975033,1.425916637,0.670180257,3.678103492,0,0,0,-0.227922078,0.068217054
50.4549,-114.3096,-0.146700143,-0.072823768,0.150757576,0.091750842,-0.03504997,0.054794502,-0.094055771,0.119490754,-0.088235294,0,0.042600745,-0.029005255,-0.096152494,0.111111111,-0.222222222,0.264705882,-0.146700143,-1.615818891,0.366104853,0.418078783,1.481718224,0,0,-0.088235294,-0.06155303,0.04
50.5565,-119.3724,-0.432882883,-0.067048456,0.218070652,0,-0.051052756,0.030441403,-0.147266676,0.185355485,0.043478261,-0.066666667,0.025766513,-0.002931227,0.095872932,0.142857143,-0.102564103,0,-0.432882883,0.961825007,2.900982321,1.366502731,3.606089615,0,0,0.043478261,-0.138409962,0.045454545
50.7834,-119.6406,-0.333333333,-0.07000028,0.1225,0,-0.052894295,0.010075237,-0.146118736,0.154109582,0.059411765,-0.111111111,0.05729839,0.000129599,0.12569312,0.1,-0.125,0.037037037,-0.333333333,1.65528306,1.97451408,0.76929088,2.086226646,0,0,0.059411765,-0.13994288,0
50.4633,-108.8104,-0.361111111,-0.046206395,0.261705101,0.306020067,-0.049813204,0.061837077,-0.127853886,0.186799515,0,-0.137931034,-0.111369012,-0.01688015,-0.041188408,0.077677225,-0.27991453,0.263157895,-0.361111111,0.228783744,2.876806255,1.439304058,3.658343707,0,0,0,-0.322580645,0
50.7452,-112.3756,-0.153194263,-0.027384846,0.29112662,0.32,-0.060071339,0.068493128,-0.056545051,0.115911502,0,-0.106203008,0.005979849,-0.012634507,-0.05910176,0.101724138,-0.375,0.216538789,-0.153194263,-0.323790158,1.50223253,0.759358724,3.682112385,0,0,0,-0.277186761,0
50.5007,-117.2664,-0.333333333,-0.101309725,0.146087398,-0.022222222,-0.011663685,0.010445575,-0.141598638,0.182648341,0.166666667,-0.032258065,0.231806441,-0.005838256,0.169569258,0.044444444,0,0.085960591,-0.333333333,3.367777507,1.069707416,0.128865314,1.356095378,0.040816327,0,0.166666667,-0.067424242,0.051315789
50.6614,-118.382,-0.5,-0.133844509,0.202941176,0,-0.054126288,-0.01934193,-0.175733816,0.213089816,0.041666667,-0.076923077,0.119833517,-0.011307617,0.077907581,0,-0.083333333,0,-0.5,0.458799271,1.979490595,0.501637991,2.005946538,0,0,0.041666667,-0.183673469,0
50.5097,-117.7143,-0.50877193,-0.123069304,0.179144385,-0.069805195,-0.012327381,0,-0.212328768,0.237442907,0.280625,0,0.341590824,0.003724745,0.189845052,0,0,0.09646402,-0.50877193,5.270192851,1.215633816,0.226042527,2.189508418,0.032258065,0,0.280625,-0.029910714,0.128205128
50.8966,-111.2601,-0.181818182,-0.037167427,0.25,0.357142857,-0.047307062,0.091324276,-0.068493128,0.136986329,0,-0.055555556,0.105749967,-0.014730779,-0.01011463,0.153846154,-0.375,0.230769231,-0.181818182,0.327139718,1.892180408,1.177078247,3.518665803,0,0,0,-0.281650641,0
50.5125,-110.6989,-0.2,-0.049643719,0.20782726,0.210526316,-0.034246624,0.08587678,-0.088220444,0.136986295,0,-0.087595908,-0.031227097,-0.012426618,0.02199294,0.135632184,-0.264912281,0.221111111,-0.2,0.001790775,1.427576082,0.834686362,2.711135151,0,0,0,-0.235294118,-0.049390244
50.4639,-112.4207,-0.139444444,-0.053729161,0.290994624,0.324662162,-0.066131312,0.063224456,-0.076407899,0.102739751,0,-0.060661765,-0.026748414,-0.014874543,-0.081792243,0.056603774,-0.376388889,0.218070652,-0.139444444,-0.417617549,1.272843961,0.624717204,3.612308065,0,0,0,-0.257603687,0
50.6369,-117.034,-0.411764706,-0.107818093,0.147058824,0,-0.083841086,0.06088278,-0.125570774,0.173451284,0,-0.09375,-0.006394738,-0.017386843,0.089859055,0.063164894,-0.166666667,0.021276596,-0.411764706,-0.670993274,2.559709689,1.090423811,2.84810828,0,0,0,-0.1,0.066666667
50.3873,-120.1788,-0.4,-0.058372692,0.18983269,0.027402402,-0.066386658,0.073633367,-0.159817358,0.213089788,0,-0.023255814,0.021822249,-0.002213161,0.087976725,0.130434783,-0.266666667,0.090909091,-0.4,0.677335357,2.74134335,1.3301585,3.301250971,0,0,0,-0.051315789,0.153846154
